,CORD,#,MFG,,,MFG. DATE,PROD,ACTUAL,PROD,END,Backup,Preload,END,FINAL,DATE,,
,SERIAL #,WRAPS,BY,LOT#,BOX#,,LENGTH,LENGTH,LOAD,LOAD,Length (ft),Length (ft),LENGTH,LENGTH,MFG,,
,6384,2030,RW,166891,90,20-Apr,20',20',600,400,57,86,23',"21'2""",22-Feb,,
,6385,4822,RW,166891,88,20-Apr,48',48',700,530,192,206,"56'5""",,22-Mar,,
,6386,4828,RW,166891,88,20-Apr,48',48',900,670,192,206,"56'3""",,22-Mar,,
,6387,2822,RW,166891,90,20_ Apr,28',28',730,530,112,118,33',"30'6"":",22-Mar,,
,6388,2822,RW,166891,90,20-Apr,28',28',730,525,112,118,"32'10""","30'5""",22-Mar,,
,6389,3214,RW,173069,41,22-Mar,"32""","32""",425,350,128,140,"37'3""","34'6""",22-Apr,,
,6390,3214,RW,173069,40,22-Mar,"32""","32""",430,360,128,140,"37'2""","34'4""",22-Apr,,
,6391,3220,RW,173069,41,22-Mar,"32""","32""",630,490,128,140,"37'5""","34'5""",22-Apr,,
,6392,3220,RW,173069,42,22-Mar,"32""","32""",630,480,128,140,"37'2""","34'3""",22-Apr,,
,6393,3226,RW,173069,41,22-Mar,"32""","32""",790,630,128,140,"37'9""","34'8""",22-Apr,,
,6394,3226,RW,173069,40,22-Mar,"32""","32""",790,620,128,140,"37'6""","34'2""",22-Apr,,
,6395,3232,RW,173069,42,22-Mar,"32""","32""",980,750,128,140,"37'10""","34'8""",22-Apr,,
,6396,3232,RW,173069,41 42,22-Mar,"32""","32""",970,760,128,140,"37'11""","34'8""",22-Apr,,
,6397,2525,RW,166891,89,20-Apr,25',25',880,670,100,110,"28'11""","26'8""",22-Mar,,
,6398,2534,RW,166891,89,20-Apr,25',25',1100,810,100,110,"28'10""","26'6""",22-Mar,,
,6399,3020,RW,173069,40,22-Mar,30',30',620,500,120,129,"35'1""","32'9""",22-Apr,,
,6400,3020,RW,173069,40,22-Mar,30',30',630,500,120,129,"35'2""","32'10""",22-Apr,,
,6401,3020,RW,173069,38,22-Mar,30',30',640,510,120,129,35',"32'10""",22-Apr,,
,6402,3020,RW,173069,38,22-Mar,30',30',650,500,120,129,"34'10""","32'7""",22-Apr,,
,6403,3026,RW,173069,38,22-Mar,30',30',830,660,120,129,"34'8""","32'9""",22-Apr,,
,6404,3026,RW,173069,38 39,22-Mar,30',30',830,640,120,129,"34'9""","32'10""",22-Apr,,
,6405,3026,RW,173069,45 37,22-Mar,30',30',820,650,120,129,35',"32'11""",22-Apr,,
,6406,3026,RW,173069,39,22-Mar,30',30',810,650,120,129,35',"32'10""",22-Apr,,
,6407,3026,RW,173069,39,22-Mar,30',30',840,650,120,129,"34'8""","32'10""",22-Apr,,
,6408,3026,RW,173069,45,22-Mar,30',30',790,650,120,129,35',"32'11""",22-Apr,,
,6409,3032,RW,173069,45,22-Mar,30',30',1000,780,120,129,"34'8""",33',22-Apr,,
,6410,3040,RW,173069,39 45,22-Mar,30',30',1200,960,120,129,"34'11""","32'8""",22-Apr,,
,6411,2020,RW,173069,50,22-Mar,20',20',600,480,80,86,"23'2""","21'6""",22-Apr,,
,6412,2026,RW,173069,37,22-Mar,20',20',810,620,80,86,"23'3""","21'5""",22-Apr,,
,6413,2032,RW,173069,37,22-Mar,20',20',990,760,80,86,"23'3""","21'7""",22-Apr,,
,6414,2032,RW,173069,37,22-Mar,20',20',970,770,80,86,"23'4""","21'6""",22-Apr,,
,6415,2920,RW,173069,50,22-Mar,29',29',610,480,116,124,"34'2""","31'11""",22-Apr,,
,6416,2926,RW,173069,50,22-Mar,29',29',790,620,116,124,"34'7""",32',22-Apr,,
,6417,4820,RW,173069,51,22-Mar,48',48',600,480,192,206,"57'6""",,22-May,,
,6418,4820,RW,173069,47,22-Mar,48',48',610,500,192,206,"57'5""",,22-May,,
,6419,4820,RW,173069,49,22-Mar,48',48',615,500,192,206,"57'2""",,22-May,,
,6420,4826,RW,173069,48,22-Mar,48',48',780,625,192,206,"57'4""",,22-May,,
,6421,4826,RW,173069,47,22-Mar,48',48',790,640,192,206,"57'2""",,22-May,,
,6422,4826,RW,173069,48,22-Mar,48',48',760,635,192,206,"57'4""",,22-May,,
,6423,4832,RW,173069,51,22-Mar,48',48',950,740,192,206,"57'3""",,22-May,,
,6424,5514,RW,173069,12,22-Mar,55',55',420,340,220,240,65',,22-May,,
,6425,5520,RW,173069,11,22-Mar,55',55',590,490,220,240,"64'7""",,22-May,,
,6426,5526,RW,173069,12,22-Mar,55',55',770,630,220,240,"64'11""",,22-May,,
,6427,5532,RW,173069,10 11,22-Mar,55',55',950,750,220,240,65',,22-May,,
,6428,5540,RW,173069,10,22-Mar,55',55',1180,960,220,240,65',,22-May,,
,6429,2820,RW,173069,43,22-Mar,28',28',590,495,112',122',"32'9""","30'8""",22-May,,
,6430,2826,RW,173069,50,22-Mar,28',28',760,640,112',122',"32'4""","30'7""",22-May,,
,,All wraps to be changed +2,,,,,,,,,,,,,,,
,6431,2442,RW,173069,44,22-Mar,24',24',1180,1000,96,103,"27'8""","25'8""",22-Jun,,
,6432,2442,RW,173069,44,22-Mar,24',24',1180,1005,96,103,"27'7""","25'6""",22-Jun,,
,6433,2454,RW,173069,43,22-Mar,24',24',1305,1240,96,103,"27'5""","25'6""",22-Jun,,
,6434,2454,RW,173069,43,22-Mar,24',24',1465,1265,96,103,"27'3""","25'5""",22-Jun,,
,6435,2028,RW,173069,28,22-Mar,20',20',775,670,80,86,"23'4""","21'3""",22-Jun,,
,6436,2022,RW,173069,28,22-Mar,20',20',610,520,80,86,"23'5""","21'4""",22-Jun,,
???,6437,2042,RW,173069,28,22-Mar,20',20',1160,990,80,86,23',"21'1""",22-Jun,,
,6438,2030,RW,173069,28,22-Mar,20',20',590,400,57,86,"22'8""","21'2""",22-Jun,,
,6439,2054,RW,173069,30,22-Mar,20',20',980,720,57,86,"22'7""","21'1""",22-Jun,,
,6440,2422,RW,173069,29,22-Mar,24',24',620,510,96,103,"28'3""",26',22-Jul,,
,6441,2428,RW,173069,29,22-Mar,24',24',790,670,96,103,"27'10""","25'11""",22-Jul,,
,6442,2434,RW,173069,49,22-Mar,24',24',970,800,96,103,"27'6""","25'9""",22-Jul,,
,6443,2442,RW,173069,49,22-Mar,24',24',1175,1050,96,103,"27'10""","25'11""",22-Jul,,
,6444,2454,RW,173069,30,22-Mar,24',24',1500,1300,96,103,"27'6""","25'9""",22-Jul,,
,6445,ES 75 lbs,RW,173069,46,22-Mar,31.5,"29'5""",2090,1840,100',106',"32'7""","31'3""",22-Jul,,
,6446,ES 75 lbs,RW,173069,52,22-Mar,31.5,"29'5""",2050,1790,100',106',33'2,"31'8""",22-Jul,,
,6447,3016,RW,173069,17,22-Mar,30',30',450,380,120,129,35',"33""",22-Jul,,
,6448,3032,RW,173069,29,22-Mar,30',30',950,830,120,129,"34'8""","32'8""",22-Jul,,
