,CORD,#,MFG,,,MFG. DATE,PROD,ACTUAL,PROD,END,Backup,Preload,END,FINAL,DATE,,
,SERIAL #,WRAPS,BY,LOT#,BOX#,,LENGTH,LENGTH,LOAD,LOAD,Length (ft),Length (ft),LENGTH,LENGTH,MFG,,
,6573,2030,RW,175466,31 19,23-Feb,20',20',540,420,57,86,"22'3""","20'10""",24-Jun,,
,6574,2042,RW,175466,31,23-Feb,20',20',800,580,57,86,"22'5""",21',24-Jun,,
,6575,2442,RW,175466,19,23-Feb,24',24',1220,1020,96,103,"27'6""","25'8""",24-Jun,,
,6576,2454,RW,175466,19 35,23-Feb,24',24',1560,1280,96,103,27'2',"25'6""",24-Jun,,
,6577,2422,RW,175466,27 36,23-Feb,24',24',630,530,96,103,"27'3""","25'9""",24-Jun,,
,6578,2428,RW,175466,36,23-Feb,24',24',850,680,96,103,"26'9""","25'6""",24-Jun,,
,6579,2434,RW,175466,27,23-Feb,24',24',1050,850,96,103,"26'8""","25'6""",24-Jun,,
,6580,2442,RW,175466,35 27,23-Feb,24',24',1200,1030,96,103,27',"25'7""",24-Jun,,
,6581,2454,RW,175466,35,23-Feb,24',24',1460,1300,96,103,"26'10""","25'6""",24-Jun,,
,6582,3016,RW,180432,9,24-Jul,30',30',460,370,120,129,"34'1""","32'1""",24-Aug,,
,6583,3022,RW,180432,9,24-Jul,30',30',610,510,120,129,"34'5""","32'3""",24-Aug,,
,6584,3022,RW,180432,7 9,24-Jul,30',30',610,510,120,129,"34'2""","32'1""",24-Aug,,
,6585,3028,RW,180432,2,24-Jul,30',30',780,660,120,129,"34'2""",32',24-Aug,,
,6586,3028,RW,180432,7,24-Jul,30',30',780,660,120,129,"34'3""","32'1""",24-Aug,,
,6587,3028,RW,180432,7,24-Jul,30',30',780,660,120,129,"34'1""",32',24-Aug,,
,6588,3028,RW,180432,2 7,24-Jul,30',30',770,670,120,129,"34'2""","32'2""",24-Aug,,
,6589,3034,RW,180432,2,24-Jul,30',30',930,810,120,129,"34'4""","32'3""",24-Aug,,
,6590,5534,RW,180432,04-Sep,24-Jul,55',55',990,830,220,240,"63'4""",,24-Aug,,
,6591,4822,RW,175466,27,23-Feb,48',48',660,530,192,206,"55'6""",-,24-Aug,,
,6592,4828,RW,175466,27,23-Feb,48',48',790,670,192,206,56',-,24-Aug,,
,6595,4828,RW,175466,32,23-Feb,48',48',790,660,192,206,"55'10""",,24-Aug,,
,6596,2922,RW,180432,4,24-Jul,29',29',600,500,116,124,"32'11""","31'4""",24-Aug,,
,6597,2928,RW,180432,5,24-Jul,29',29',700,650,116,124,"32'11""","31'4""",24-Aug,,
,6598,2018,RW,180432,3,24-Jul,20',20',320,280,57,86,"22'5""","20'9""",24-Sep,,
,6599,2030,RW,180432,3,24-Jul,20',20',530,500,57,86,"22'5""","20'10""",24-Sep,,
,6600,2054,RW,180432,3,24-Jul,20',20',980,800,57,86,"22'3""","20'9""",24-Sep,,
,6601,4834,RW,180432,3 4 2006,24-Jul,48',48',960,830,192,206,"55'6""",,24-Oct,,
2025,6602,2822,RW,180432,117,24-Jul,28',28',720,510,112',122',"32'6""","30'5""",25-Jan,,
,6603,2828,RW,180432,6,24-Jul,28',28',930,650,112',122',33',"30'6""",25-Jan,,
,6604,2834,RW,180432,6,24-Jul,28',28',1140,820,112',122',"32'9""","30'2""",25-Jan,,
,6605,2922,RW,180432,117,24-Jul,29',29',650,500,116,124,"31'2""","31'2""",25-Jan,,
,6606,2928,RW,180432,117,24-Jul,29',29',840,650,116,124,31',31',25-Jan,,
,6607,4828,RW,180432,115,24-Jul,48',48',820,640,192,206,"56'2""",,25-Feb,,
,6608,4822,RW,180432,115,24-Jul,48',48',670,500,192,206,56',,25-Feb,,
,6609,4822,RW,180432,117 113,24-Jul,48',48',650,520,192,206,56',,25-Apr,,
,6610,4822,RW,180432,113,24-Jul,48',48',630,510,192,206,"56'8""",,25-May,,
,6611,4828,RW,180432,113 1,24-Jul,48',48',830,660,192,206,"56'4""",,25-Apr,,
,6612,4828,RW,180432,1,24-Jul,48',48',820,660,192,206,"56'6""",,25-May,,
,6613,3022,RW,180432,1,24-Jul,30',30',650,500,120,129,35',32',25-Apr,,
,6614,3022,RW,180432,116,24-Jul,30',30',650,500,120,129,"34'6""","31'8""",25-Apr,,
,6615,3028,RW,180432,116,24-Jul,30',30',820,650,120,129,"35'1""","31'10""",25-Apr,,
,6616,3028,RW,180432,116,24-Jul,30',30',820,640,120,129,35',"31'11""",25-Apr,,
,6617,3028,RW,180432,84,24-Jul,30',30',820,650,120,129,"34'6""","31'5""",25-Apr,,
,6618,3034,RW,180432,84,24-Jul,30',30',960,780,120,129,"35'3""",32',25-Apr,,
,6619,2422,RW,180432,26,24-Jul,24',24',660,530,96,103,"27'10""",26',25-May,,
,6620,2422,RW,180432,26,24-Jul,24',24',670,510,96,103,28',"26'2""",25-May,,
,6621,2428,RW,180432,26,24-Jul,24',24',850,650,96,103,"27'11""",26',25-May,,
,6622,2434,RW,180432,26,24-Jul,24',24',1020,800,96,103,"27'9""","25'11""",25-May,,
,6623,2434,RW,180432,19,24-Jul,24',24',1020,820,96,103,"27'10""",26',25-May,,
,6624,2442,RW,180432,19,24-Jul,24',24',1270,1080,96,103,"27'5""","25'8""",25-May,,
,6625,2454,RW,180432,34 19,24-Jul,24',24',1600,1300,96,103,"27'11""",26',25-May,,
,6626,5522,RW,180432,32,24-Jul,55',55',660,520,220,240,"64'4""",,25-May,,
,6627,5528,RW,180432,31 32,24-Jul,55',55',820,660,220,240,"64'6""",,25-May,,
,6628,5534,RW,180432,31,24-Jul,55',55',1000,810,220,240,"64'2""",,25-May,,
,6629,4816,RW,180432,24 32,24-Jul,48',48',460,360,192,206,56',,25-May,,
,6630,4842,RW,180432,24,24-Jul,48',48',1260,1000,192,206,55',,25-May,,
,6631,3016,RW,180432,35,24-Jul,30',30',530,400,120,129,"34'10""","32'4""",25-Jul,,
,6632,3022,RW,180432,35,24-Jul,30',30',600,520,120,129,"34'5""","32'1""",25-Jul,,
,6633,3022,RW,180432,35,24-Jul,30',30',600,520,120,129,"34'6""","32'3""",25-Jul,,
,6634,3022,RW,180432,35,24-Jul,30',30',610,535,120,129,"34'3""","32'1""",25-Jul,,
,6635,3028,RW,180432,29,24-Jul,30',30',800,680,120,129,"33'11""",32',25-Jul,,
,6636,3028,RW,180432,29,24-Jul,30',30',800,670,120,129,"33'9""",32',25-Jul,,
,6637,3028,RW,180432,23 29,24-Jul,30',30',800,670,120,129,"33'10""","31'10""",25-Jul,,
,6638,3034,RW,180432,23,24-Jul,30',30',950,820,120,129,"33'10""","31'9""",25-Jul,,
,6639,3042,RW,180432,23,24-Jul,30',30',1140,1050,120,129,"33'10""","31'8""",25-Jul,,
,6640,5522,RW,180432,114,24-Jul,55',55',610,510,220,240,"62'9""",,25-Jul,,
,6641,5528,RW,180432,110 114,24-Jul,55',55',780,660,220,240,63',,25-Jul,,
,6642,5534,RW,180432,110,24-Jul,55',55',930,800,220,240,"63'4""",,25-Jul,,
,6643,3222,RW,180432,112,24-Jul,"32""","32""",630,520,128,140,"36'6""","34'8""",25-Aug,,
,6644,3228,RW,180432,114 112,24-Jul,"32""","32""",810,660,128,140,"36'6""","34'8""",25-Aug,,
,6645,4822,RW,180432,33,24-Jul,48',48',640,530,192,206,"55'6""",,25-Aug,,
,6646,4822,RW,180432,33,24-Jul,48',48',640,530,192,206,"55'6""",,25-Aug,,
,6647,4828,RW,180432,20,24-Jul,48',48',850,680,192,206,"54'11""",,25-Aug,,
,6648,4828,RW,180432,20,24-Jul,48',48',860,680,192,206,"55'1""",,25-Aug,,
,6649,4834,RW,180432,12 20,24-Jul,48',48',1030,820,192,206,"54'11""",,25-Aug,,
,6650,5522,RW,180432,21,24-Jul,55',55',660,530,220,240,"63'6""",,25-Oct,,
,6651,5528,RW,180432,21 27,24-Jul,55',55',850,670,220,240,"63'8""",,25-Oct,,
,6652,5534,RW,180432,27,24-Jul,55',55',1050,830,220,240,"63'3""",,25-Oct,,
