Date,Brk,Weight,Anchor Offset,Water Height,Harness,Horizontal Distance,Cord Serial Number,Cord Usage Count
5/4/2025,,161.0,29.0,-3,AF,1,65934828,221
5/4/2025,,203.0,13.0,-1,AF,3,65934828,223
5/4/2025,,206.0,11.0,0,AF,0,65934828,224
5/4/2025,B,210.0,15.0,-5,AF,0,65934828,225
5/4/2025,,208.0,10.0,3,AF,0,65934828,226
5/4/2025,B ,210.0,13.0,-2,AF,1,65934828,233
5/4/2025,B,175.0,26.0,-3,AF,2,65934828,235
5/4/2025,,191.0,15.0,2,AF,4,65934828,236
5/4/2025,B,213.0,12.0,-2,AF,1,65934828,237
5/4/2025,,190.0,18.0,-1,AF,1,65934828,238
5/4/2025,,171.0,25.0,-3,AF,0,65934828,240
5/8/2025,F,208.0,14.0,3,AF,0,65934828,247
5/8/2025,,190.0,18.0,1,AF,0,65934828,248
5/8/2025,,187.0,20.0,-1,AF,1,65934828,249
5/8/2025,B,174.0,25.0,1,AF,1,65934828,250
5/9/2025,B,220.0,5.0,5,AF,2,65934828,253
5/9/2025,,177.0,22.0,-2,AB,4,65934828,255
5/9/2025,,184.0,19.0,0,AF,2,65934828,256
5/9/2025,,181.0,21.0,0,AF,4,65934828,257
5/9/2025,B,177.0,25.0,-2,AF,3,65934828,258
5/9/2025,B/2,195.0,18.0,-4,AF,0,65934828,261
5/9/2025,,179.0,20.0,0,AF,0,65934828,263
5/10/2025,F,208.0,17.0,-3,AF,1,65934828,265
5/10/2025,,174.0,22.0,4,AF,2,65934828,266
5/10/2025,B,183.0,22.0,-3,AF,1,65934828,267
5/10/2025,,214.0,9.0,-1,AF,0,65934828,269
5/10/2025,,193.0,17.0,0,AF,2,65934828,270
5/10/2025,,173.0,25.0,-1,AF,0,65934828,271
5/10/2025,B,220.0,9.0,0,AF,3,65934828,272
5/10/2025,,201.0,15.0,-1,AF,1,65934828,274
5/10/2025,B,198.0,19.0,-4,AF,1,65934828,276
5/10/2025,B,186.0,20.0,0,AF,1,65934828,277
5/10/2025,B,200.0,19.0,-5,AF,1,65934828,279
5/10/2025,,200.0,15.0,-3,AF,0,65934828,281
5/10/2025,,172.0,27.0,-5,AF,1,65934828,285
5/10/2025,,191.0,18.0,-5,AF,1,65934828,287
5/10/2025,B,202.0,17.0,-5,AF,0,65934828,288
5/11/2025,B ,197.0,18.0,-3,AF,0,65934828,295
5/11/2025,,172.0,33.0,1,BF,5,65934828,297
5/11/2025,,189.0,16.0,0,AF,0,65934828,299
5/11/2025,,189.0,18.0,0,AF,0,65934828,300
5/11/2025,,185.0,19.0,-3,AF,0,65934828,301
5/11/2025,,181.0,20.0,2,AF,2,65934828,302
5/11/2025,B,214.0,10.0,-3,AF,0,65934828,306
5/11/2025,,216.0,5.0,3,AF,0,65934828,307
5/11/2025,,203.0,10.0,3,AF,2,65934828,308
5/11/2025,B/2,177.0,24.0,-4,AF,0,65934828,310
5/11/2025,,168.0,22.0,3,AF,0,65934828,311
5/12/2025,F,210.0,10.0,3,AF,4,65934828,312
5/12/2025,B,197.0,18.0,-3,AF,1,65934828,314
5/15/2025,,201.0,12.0,1,AF,0,65934828,317
5/15/2025,,188.0,18.0,-1,AF,2,65934828,318
5/15/2025,B,213.0,10.0,-1,AF,0,65934828,319
5/16/2025,F,189.0,23.0,-3,AF,4,65934828,323
5/16/2025,,164.0,24.0,4,AF,0,65934828,324
5/16/2025,B/2,170.0,26.0,-3,AF,0,65934828,325
5/16/2025,B,209.0,19.0,-2,BF,5,65934828,326
5/16/2025,B,200.0,15.0,-1,AF,0,65934828,328
5/16/2025,B,203.0,14.0,-1,AF,0,65934828,329
5/16/2025,B,191.0,18.0,0,AF,0,65934828,330
5/16/2025,,168.0,26.0,-2,AF,0,65934828,331
5/17/2025,F,208.0,12.0,3,AF,2,65934828,332
5/17/2025,,184.0,18.0,1,AF,0,65934828,334
5/17/2025,,182.0,21.0,-1,AF,0,65934828,336
5/17/2025,B,220.0,6.0,2,AF,0,65934828,338
5/17/2025,,185.0,19.0,-3,AF,0,65934828,340
5/17/2025,,168.0,25.0,-1,AB,0,65934828,342
5/17/2025,B,185.0,23.0,-5,AF,0,65934828,344
5/17/2025,,181.0,15.0,2,AF,0,65934828,345
