Date,Brk,Weight,Anchor Offset,Water Height,Harness,Horizontal Distance,Cord Serial Number,Cord Usage Count
8/4/2025,N,203.0,8.0,5,AF,2,66124828,1
8/4/2025,,198.0,9.0,5,AF,0,66124828,3
8/4/2025,,193.0,14.0,3,AF,0,66124828,4
8/4/2025,,191.0,17.0,3,AF,2,66124828,5
8/4/2025,,186.0,26.0,2,BF,2,66124828,6
8/4/2025,,189.0,21.0,-1,AF,0,66124828,7
8/4/2025,B,214.0,12.0,1,AF,2,66124828,8
8/4/2025,,198.0,18.0,-1,AF,1,66124828,9
8/4/2025,B,211.0,14.0,0,AF,0,66124828,10
8/4/2025,,218.0,9.0,1,AF,2,66124828,11
8/4/2025,,206.0,14.0,2,AF,4,66124828,12
8/4/2025,,206.0,14.0,0,AF,1,66124828,13
8/4/2025,,201.0,16.0,1,AF,2,66124828,14
8/4/2025,,196.0,18.0,0,AF,1,66124828,15
8/4/2025,,181.0,24.0,-2,AF,0,66124828,16
8/4/2025,,178.0,23.0,0,AF,0,66124828,17
8/4/2025,,174.0,26.0,1,AF,2,66124828,19
8/4/2025,,182.0,24.0,-4,AF,0,66124828,22
8/4/2025,,175.0,25.0,0,AF,0,66124828,23
8/5/2025,F,194.0,24.0,-5,AF,0,66124828,25
8/5/2025,,208.0,15.0,0,AF,3,66124828,27
8/5/2025,,202.0,17.0,-3,AF,0,66124828,28
8/5/2025,,172.0,26.0,-2,AF,0,66124828,30
8/5/2025,,166.0,29.0,-1,AF,3,66124828,31
8/5/2025,,198.0,17.0,-3,AF,0,66124828,33
8/5/2025,,216.0,10.0,-2,AF,1,66124828,35
8/5/2025,,192.0,20.0,-3,AF,1,66124828,36
8/5/2025,,198.0,17.0,-1,AF,1,66124828,39
8/5/2025,,186.0,21.0,-1,AF,0,66124828,40
8/5/2025,,176.0,26.0,-3,AF,1,66124828,41
8/5/2025,,171.0,26.0,-3,AF,0,66124828,42
8/5/2025,,169.0,26.0,-2,AF,0,66124828,43
8/5/2025,,187.0,22.0,-3,AF,0,66124828,44
8/5/2025,,187.0,22.0,-5,AF,0,66124828,45
8/5/2025,B,224.0,9.0,1,AF,0,66124828,46
8/5/2025,B,211.0,15.0,-4,AF,0,66124828,48
8/5/2025,,192.0,20.0,0,AF,1,66124828,50
8/5/2025,,187.0,25.0,-1,BF,0,66124828,51
8/5/2025,,191.0,20.0,-2,AF,1,66124828,52
8/5/2025,,170.0,23.0,0,AF,0,66124828,53
8/5/2025,B,172.0,30.0,-4,AF,0,66124828,54
8/5/2025,,192.0,20.0,-3,AF,0,66124828,55
8/5/2025,,182.0,23.0,-3,AF,0,66124828,56
8/5/2025,,171.0,26.0,-1,AF,0,66124828,57
8/5/2025,B,221.0,11.0,0,AF,0,66124828,58
8/5/2025,,200.0,17.0,-2,AF,0,66124828,59
8/5/2025,B,200.0,17.0,-4,AF,0,66124828,61
8/6/2025,F,197.0,22.0,-4,AF,0,66124828,62
8/6/2025,,192.0,18.0,1,AF,4,66124828,63
8/6/2025,,173.0,24.0,2,AF,0,66124828,65
8/6/2025,,163.0,30.0,-4,AF,0,66124828,66
8/6/2025,,150.0,32.0,0,AF,0,66124828,67
8/6/2025,B,226.0,10.0,-2,AF,0,66124828,68
8/6/2025,,203.0,13.0,0,AF,0,66124828,70
8/6/2025,,196.0,16.0,0,AF,0,66124828,71
8/6/2025,,210.0,11.0,0,AF,0,66124828,73
8/6/2025,B,204.0,18.0,-1,BF,2,66124828,75
8/6/2025,B,202.0,18.0,-1,AF,2,66124828,76
8/6/2025,B/2,200.0,23.0,-2,BF,1,66124828,77
8/6/2025,,199.0,20.0,1,BF,2,66124828,78
