Date,Brk,Weight,Anchor Offset,Water Height,Harness,Horizontal Distance,Cord Serial Number
7/19/2025,,101,20.0,2,AF,1,63444816
7/19/2025,B,96,21.0,,AF,,63444816
7/19/2025,,117,12.0,W0,AF,0,63444816
7/22/2025,F,107,24.0,W0,AF,1,63444816
7/22/2025,B,114,6.0,,BF,,63444816
7/22/2025,,112,6.0,,AF,,63444816
7/23/2025,F,108,25.0,-5,AF,,63444816
7/23/2025,B,98,26.0,D0,AF,0,63444816
7/23/2025,B,104,24.0,W0,AF,0,63444816
7/23/2025,B,104,25.0,-4,AF,0,63444816
7/23/2025,,117,13.0,1,AF,2,63444816
7/23/2025,,111,16.0,W0,AF,0,63444816
7/23/2025,,112,19.0,2,AF,0,63444816
7/23/2025,B,104,12.0,,AF,0,63444816
7/24/2025,F,105,30.0,-3,AF,0,63444816
7/26/2025,F,109,24.0,-3,AF,0,63444816
7/26/2025,,103,12.0,,AF,,63444816
7/26/2025,B,107,23.0,W0,AF,3,63444816
7/26/2025,,92,12.0,,AF,,63444816
7/26/2025,B,111,15.0,,AF,,63444816
7/27/2025,F,117,6.0,,AF,,63444816
7/27/2025,,109,2.0,,AF,,63444816
7/27/2025,,112,6.0,,AF,,63444816
7/27/2025,,102,6.0,,AF,,63444816
7/27/2025,B,96,26.0,1,AF,0,63444816
7/27/2025,B,113,21.0,-3,AF,0,63444816
7/29/2025,F,109,22.0,,AF,,63444816
7/30/2025,F,109,12.0,,AF,,63444816
7/30/2025,B,126,12.0,,BF,,63444816
7/30/2025,,109,12.0,,AF,,63444816
8/2/2025,F,108,22.0,D0,AF,0,63444816
8/3/2025,F,139,6.0,,BF,,63444816
8/3/2025,B,123,16.0,-5,AF,0,63444816
8/3/2025,B,117,6.0,,AF,,63444816
8/3/2025,,136,6.0,-2,AF,0,63444816
8/3/2025,,135,4.0,W0,AF,0,63444816
8/3/2025,B,101,,,,,63444816
8/3/2025,B,110,22.0,,AF,,63444816
8/4/2025,F,109,6.0,,AF,,63444816
8/4/2025,B,114,21.0,-3,AF,,63444816
8/5/2025,F,110,22.0,W0,AF,0,63444816
8/6/2025,F,94,27.0,4,AF,0,63444816
8/6/2025,B,109,23.0,-3,AF,0,63444816
8/6/2025,,93,25.0,2,AF,0,63444816
8/6/2025,B,112,21.0,-3,AF,0,63444816
