Date,Brk,Weight,Anchor Offset,Water Height,Harness,Horizontal Distance,Cord Serial Number
11/2/2024,,113,12.0,,AF,,65524822
11/2/2024,B,164,6.0,,AF,,65524822
11/2/2024,,149,6.0,,AF,,65524822
11/2/2024,,148,6.0,,AF,,65524822
11/2/2024,,145,6.0,,AF,,65524822
11/2/2024,,141,6.0,,AF,,65524822
11/2/2024,,115,12.0,,AF,,65524822
11/2/2024,B,148,6.0,,AF,,65524822
11/2/2024,,148,6.0,,AF,,65524822
11/2/2024,,147,26.0,-4,AF,1.0,65524822
11/2/2024,,134,9.0,,AF,,65524822
11/2/2024,B,133,30.0,2,AF,2.0,65524822
11/2/2024,,142,6.0,,AF,,65524822
11/3/2024,F,148,12.0,,BF,,65524822
11/3/2024,,144,6.0,,AF,,65524822
11/3/2024,,130,32.0,-2,AF,1.0,65524822
11/3/2024,,119,18.0,,AF,,65524822
11/3/2024,,148,6.0,,AF,,65524822
11/3/2024,,148,6.0,,AF,,65524822
11/3/2024,,135,6.0,,AF,,65524822
11/3/2024,B,152,24.0,0,AF,0.0,65524822
11/3/2024,,151,6.0,-2,AF,0.0,65524822
11/3/2024,,147,6.0,,AF,,65524822
11/3/2024,,144,6.0,,AF,,65524822
5/3/2025,F,159,24.0,0,AF,0.0,65524822
5/3/2025,,159,15.0,3,AF,1.0,65524822
5/3/2025,,142,15.0,5,AF,1.0,65524822
5/3/2025,,132,24.0,3,AF,0.0,65524822
5/3/2025,,152,12.0,,AF,,65524822
5/3/2025,,109,24.0,11,AF,1.0,65524822
5/3/2025,B,109,30.0,,AF,,65524822
5/3/2025,B,157,6.0,,AF,,65524822
5/3/2025,,147,14.0,,AF,,65524822
5/3/2025,,146,23.0,0,AF,,65524822
5/3/2025,,129,21.0,,AF,,65524822
5/3/2025,B,150,12.0,,AF,,65524822
5/3/2025,,130,24.0,2,AF,2.0,65524822
5/3/2025,,144,12.0,,AF,,65524822
5/3/2025,,144,16.0,-2,AF,2.0,65524822
5/3/2025,B,146,27.0,-1,AF,3.0,65524822
5/3/2025,,139,18.0,,AF,,65524822
5/3/2025,,138,27.0,1,AF,1.0,65524822
5/3/2025,,137,29.0,-1,AF,0.0,65524822
5/3/2025,,142,32.0,0,BF,1.0,65524822
5/3/2025,,164,6.0,,AF,,65524822
5/3/2025,,158,6.0,,AF,,65524822
5/3/2025,,159,6.0,,AF,,65524822
5/3/2025,,150,25.0,-5,AF,0.0,65524822
5/3/2025,B,151,25.0,,AF,,65524822
