Date,Brk,Weight,Anchor Offset,Water Height,Harness,Horizontal Distance,Cord Serial Number
10/27/2024,,198.0,17.0,-4,AB,0,65934828
10/27/2024,,190.0,6.0,,AF,,65934828
10/27/2024,,190.0,6.0,,AF,,65934828
10/27/2024,,180.0,6.0,,AF,,65934828
10/27/2024,B,211.0,6.0,,AF,,65934828
10/27/2024,,202.0,6.0,,AF,,65934828
10/27/2024,,195.0,6.0,,AF,,65934828
10/27/2024,,185.0,6.0,,AF,,65934828
10/27/2024,,172.0,21.0,,BF,,65934828
10/28/2024,F,215.0,13.0,-2,AB,1,65934828
10/28/2024,,185.0,6.0,,AF,,65934828
10/28/2024,,181.0,21.0,W0,AF,2,65934828
10/28/2024,B,200.0,18.0,-5,AF,0,65934828
10/28/2024,B,210.0,13.0,,AF,,65934828
10/28/2024,,184.0,12.0,,AF,,65934828
11/1/2024,F,172.0,17.0,15,AF,5,65934828
11/1/2024,,175.0,12.0,,AF,,65934828
11/1/2024,,175.0,12.0,,AF,,65934828
11/1/2024,,190.0,6.0,,AF,,65934828
11/1/2024,B,156.0,6.0,,AF,,65934828
11/2/2024,F,194.0,6.0,,AF,,65934828
11/2/2024,,179.0,25.0,-2,AF,0,65934828
11/2/2024,B,208.0,15.0,-2,AF,0,65934828
11/2/2024,,194.0,6.0,,AF,,65934828
11/2/2024,,181.0,6.0,,AB,,65934828
11/2/2024,B,206.0,15.0,-2,AF,1,65934828
11/2/2024,,199.0,13.0,W0,AF,0,65934828
11/2/2024,,189.0,17.0,-2,AF,0,65934828
11/2/2024,,189.0,6.0,,AF,,65934828
11/2/2024,,186.0,6.0,,AF,,65934828
11/2/2024,,178.0,6.0,,AF,,65934828
11/2/2024,,177.0,6.0,,AF,,65934828
11/2/2024,,178.0,6.0,,AF,,65934828
11/2/2024,B,210.0,9.0,,AF,2,65934828
11/2/2024,,202.0,12.0,2,AF,1,65934828
11/2/2024,,203.0,6.0,D0,AF,,65934828
11/2/2024,,192.0,17.0,,AF,0,65934828
11/2/2024,,191.0,6.0,-4,AF,,65934828
11/2/2024,,168.0,12.0,,BF,,65934828
11/2/2024,B,203.0,16.0,-3,AF,0,65934828
11/2/2024,,195.0,6.0,,BF,,65934828
11/2/2024,,188.0,6.0,,AF,,65934828
11/2/2024,B/2,180.0,6.0,,AF,,65934828
11/2/2024,B,211.0,6.0,,BF,,65934828
11/2/2024,,177.0,22.0,-2,AF,2,65934828
11/2/2024,,171.0,24.0,W0,AF,1,65934828
11/2/2024,B,176.0,12.0,,AB,,65934828
11/2/2024,,192.0,6.0,,AF,,65934828
11/2/2024,,190.0,6.0,,BF,,65934828
11/2/2024,,181.0,6.0,,AF,,65934828
11/2/2024,B,192.0,16.0,W0,AF,0,65934828
11/3/2024,F,214.0,6.0,,AF,,65934828
11/3/2024,,174.0,12.0,,AF,,65934828
11/3/2024,,174.0,23.0,-1,AF,0,65934828
11/3/2024,B,206.0,9.0,,BF,,65934828
11/3/2024,,194.0,9.0,,BF,,65934828
11/3/2024,,220.0,6.0,W0,AF,0,65934828
11/3/2024,,207.0,6.0,3,AF,0,65934828
11/3/2024,,200.0,6.0,6,AF,0,65934828
11/3/2024,,198.0,13.0,2,AF,2,65934828
11/3/2024,B,216.0,6.0,,BF,,65934828
11/3/2024,,207.0,10.0,W0,AF,1,65934828
11/3/2024,,198.0,6.0,,BF,,65934828
11/3/2024,,200.0,12.0,2,AF,3,65934828
11/3/2024,,196.0,12.0,2,AF,2,65934828
11/3/2024,,190.0,15.0,D0,AF,0,65934828
11/3/2024,,185.0,18.0,W0,AF,4,65934828
11/3/2024,,171.0,31.0,,AF,,65934828
11/3/2024,B,217.0,8.0,2,AF,1,65934828
11/3/2024,,184.0,20.0,,AF,,65934828
11/3/2024,,178.0,8.0,,AB,,65934828
11/3/2024,,181.0,31.0,,BF,,65934828
5/3/2025,F,187.0,23.0,1,AB,0,65934828
5/3/2025,,207.0,6.0,,AF,,65934828
5/3/2025,B,176.0,28.0,-5,AF,1,65934828
5/3/2025,B,219.0,5.0,2,AF,1,65934828
5/3/2025,B,200.0,19.0,-3,AF,5,65934828
5/3/2025,,188.0,20.0,,AF,,65934828
5/3/2025,,185.0,20.0,D0,AF,6,65934828
5/3/2025,,181.0,20.0,-3,AF,1,65934828
5/3/2025,,159.0,33.0,-5,AF,3,65934828
5/3/2025,,150.0,33.0,-3,AF,2,65934828
5/3/2025,B,199.0,16.0,1,BF,1,65934828
5/3/2025,,167.0,12.0,,AF,,65934828
5/3/2025,,167.0,12.0,,AF,,65934828
5/3/2025,B,206.0,15.0,W0,AF,3,65934828
5/3/2025,,202.0,11.0,,AF,,65934828
5/3/2025,,188.0,19.0,-1,AF,3,65934828
5/3/2025,,176.0,22.0,-1,AF,0,65934828
5/3/2025,,212.0,9.0,D0,AF,3,65934828
5/3/2025,,196.0,6.0,,AF,,65934828
5/3/2025,B,207.0,13.0,D0,AF,0,65934828
5/3/2025,,197.0,6.0,,AF,,65934828
5/3/2025,,164.0,29.0,-3,AF,1,65934828
5/3/2025,B,199.0,17.0,-1,AF,1,65934828
5/3/2025,,192.0,6.0,,AF,,65934828
5/3/2025,,156.0,30.0,-1,AF,2,65934828
5/4/2025,F,200.0,18.0,W0,AB,1,65934828
5/4/2025,,193.0,16.0,-2,AF,1,65934828
5/4/2025,,176.0,23.0,D0,AF,2,65934828
5/4/2025,,182.0,12.0,,AF,,65934828
5/4/2025,,168.0,18.0,,AF,,65934828
5/4/2025,,161.0,29.0,-3,AF,1,65934828
5/4/2025,B,214.0,13.0,-1,AF,,65934828
5/4/2025,,203.0,13.0,-1,AF,3,65934828
5/4/2025,,206.0,11.0,W0,AF,0,65934828
5/4/2025,B,210.0,15.0,-5,AF,0,65934828
5/4/2025,,208.0,10.0,3,AF,0,65934828
5/4/2025,,165.0,12.0,,AF,,65934828
5/4/2025,B,207.0,6.0,,AF,,65934828
5/4/2025,,195.0,6.0,,AF,,65934828
5/4/2025,,192.0,6.0,,AF,,65934828
5/4/2025,B/2,168.0,6.0,,AF,,65934828
5/4/2025,,168.0,12.0,,AF,,65934828
5/4/2025,B ,210.0,13.0,-2,AF,1,65934828
5/4/2025,,193.0,12.0,,AF,,65934828
5/4/2025,B,175.0,26.0,-3,AF,2,65934828
5/4/2025,,191.0,15.0,2,AF,4,65934828
5/4/2025,B,213.0,12.0,-2,AF,1,65934828
5/4/2025,,190.0,18.0,-1,AF,1,65934828
5/4/2025,,184.0,6.0,,AF,,65934828
5/4/2025,,171.0,25.0,-3,AF,0,65934828
5/4/2025,B,181.0,18.0,,BF,,65934828
5/4/2025,,172.0,21.0,,BF,,65934828
5/5/2025,F,218.0,5.0,,AF,,65934828
5/5/2025,,208.0,5.0,,AF,,65934828
5/5/2025,,204.0,6.0,,BF,,65934828
5/5/2025,B,209.0,6.0,,AF,,65934828
5/8/2025,F,208.0,14.0,3,AF,0,65934828
5/8/2025,,190.0,18.0,1,AF,0,65934828
5/8/2025,,187.0,20.0,-1,AF,1,65934828
5/8/2025,B,174.0,25.0,1,AF,1,65934828
5/9/2025,F,184.0,6.0,,BF,,65934828
5/9/2025,B,179.0,6.0,,BF,,65934828
5/9/2025,B,220.0,5.0,5,AF,2,65934828
5/9/2025,,195.0,6.0,,AF,,65934828
5/9/2025,,177.0,22.0,-2,AB,4,65934828
5/9/2025,,184.0,19.0,D0,AF,2,65934828
5/9/2025,,181.0,21.0,D0,AF,4,65934828
5/9/2025,B,177.0,25.0,-2,AF,3,65934828
5/9/2025,,197.0,6.0,,AF,,65934828
5/9/2025,B,195.0,6.0,,BF,,65934828
5/9/2025,B/2,195.0,18.0,-4,AF,0,65934828
5/9/2025,,180.0,6.0,,AF,,65934828
5/9/2025,,179.0,20.0,D0,AF,0,65934828
5/9/2025,,174.0,15.0,,BF,,65934828
5/10/2025,F,208.0,17.0,-3,AF,1,65934828
5/10/2025,,174.0,22.0,4,AF,2,65934828
5/10/2025,B,183.0,22.0,-3,AF,1,65934828
5/10/2025,B,216.0,13.0,-6,AF,0,65934828
5/10/2025,,214.0,9.0,-1,AF,0,65934828
5/10/2025,,193.0,17.0,D0,AF,2,65934828
5/10/2025,,173.0,25.0,-1,AF,0,65934828
5/10/2025,B,220.0,9.0,D0,AF,3,65934828
5/10/2025,,200.0,6.0,,AF,0,65934828
5/10/2025,,201.0,15.0,-1,AF,1,65934828
5/10/2025,,194.0,6.0,,BF,,65934828
5/10/2025,B,198.0,19.0,-4,AF,1,65934828
5/10/2025,B,186.0,20.0,W0,AF,1,65934828
5/10/2025,,172.0,15.0,,AF,,65934828
