Date,Brk,Weight,Anchor Offset,Water Height,Harness,Horizontal Distance,Cord Serial Number,Cord Usage Count
8/3/2025,,124,25.0,3,AF,1.0,66104822,7
8/3/2025,,143,26.0,-5,AF,1.0,66104822,10
8/3/2025,B,161,20.0,-3,AF,1.0,66104822,12
8/3/2025,,154,24.0,-1,BB,0.0,66104822,13
8/3/2025,,156,18.0,-4,AF,0.0,66104822,14
8/3/2025,,140,21.0,1,AF,0.0,66104822,15
8/3/2025,,138,23.0,-1,AF,2.0,66104822,16
8/3/2025,,137,23.0,1,AF,1.0,66104822,17
8/3/2025,B,163,18.0,-6,AF,0.0,66104822,18
8/3/2025,,139,23.0,0,AF,1.0,66104822,19
8/3/2025,B,168,16.0,-4,AF,0.0,66104822,22
8/3/2025,,164,11.0,1,AF,0.0,66104822,23
8/3/2025,,159,13.0,-2,AF,0.0,66104822,24
8/3/2025,,144,22.0,-4,AF,0.0,66104822,25
8/3/2025,,139,22.0,0,AB,0.0,66104822,26
8/3/2025,,166,10.0,1,AF,0.0,66104822,27
8/3/2025,,125,28.0,4,AF,0.0,66104822,29
8/3/2025,,143,21.0,1,AF,0.0,66104822,32
8/3/2025,,127,28.0,1,AF,0.0,66104822,33
8/3/2025,B,166,14.0,-2,AF,0.0,66104822,34
8/3/2025,,158,13.0,2,AF,0.0,66104822,35
8/3/2025,,133,25.0,1,AF,0.0,66104822,36
8/3/2025,,168,5.0,3,AF,0.0,66104822,38
8/3/2025,,162,12.0,1,AF,0.0,66104822,39
8/3/2025,,131,26.0,-1,AF,0.0,66104822,40
8/3/2025,B,167,14.0,-2,AF,0.0,66104822,41
8/3/2025,,142,22.0,-4,AF,0.0,66104822,44
8/4/2025,,145,19.0,1,AF,0.0,66104822,48
8/4/2025,,168,10.0,0,AF,0.0,66104822,49
8/4/2025,B,167,13.0,-1,AF,0.0,66104822,50
8/4/2025,,164,12.0,0,AF,0.0,66104822,51
8/4/2025,,162,14.0,-4,AF,0.0,66104822,53
8/4/2025,B,161,15.0,-3,AF,0.0,66104822,54
8/4/2025,B/2,158,21.0,-2,BF,1.0,66104822,56
8/27/2025,,143,16.0,0,AF,0.0,66104822,607
8/27/2025,,137,20.0,2,AF,1.0,66104822,608
8/27/2025,B ,158,6.0,3,AF,1.0,66104822,609
8/28/2025,B,126,30.0,2,AF,3.0,66104822,615
8/28/2025,,159,10.0,1,AF,1.0,66104822,616
8/29/2025,F,159,13.0,-2,AF,0.0,66104822,618
8/29/2025,,136,20.0,2,AF,0.0,66104822,620
8/29/2025,,129,25.0,-1,AF,0.0,66104822,621
8/29/2025,B,149,14.0,2,AF,0.0,66104822,622
8/29/2025,,137,21.0,2,AF,1.0,66104822,624
8/29/2025,,139,23.0,-5,AF,0.0,66104822,626
8/29/2025,,106,36.0,-1,AF,0.0,66104822,627
8/30/2025,F,168,6.0,3,AF,0.0,66104822,629
8/30/2025,,163,5.0,1,AF,0.0,66104822,630
8/30/2025,,163,6.0,1,AF,0.0,66104822,631
8/30/2025,B,155,13.0,2,AF,0.0,66104822,633
8/30/2025,,139,19.0,0,AF,0.0,66104822,638
8/30/2025,,121,27.0,1,AF,0.0,66104822,639
8/30/2025,,138,20.0,0,AF,0.0,66104822,640
8/30/2025,,134,22.0,2,AF,1.0,66104822,644
8/30/2025,B,138,24.0,-2,AF,0.0,66104822,646
8/30/2025,,122,28.0,1,AF,1.0,66104822,648
8/30/2025,,116,33.0,-2,AF,0.0,66104822,649
8/30/2025,B,137,22.0,0,AF,0.0,66104822,654
8/30/2025,,137,19.0,0,AB,0.0,66104822,659
8/30/2025,,136,21.0,-2,AF,0.0,66104822,662
8/30/2025,,158,11.0,-2,AF,1.0,66104822,667
8/30/2025,,146,15.0,0,AF,0.0,66104822,668
8/31/2025,,151,13.0,-3,AB,0.0,66104822,672
8/31/2025,B,153,19.0,-1,BF,0.0,66104822,674
8/31/2025,,153,10.0,0,AF,0.0,66104822,675
8/31/2025,,114,34.0,-2,AF,2.0,66104822,676
8/31/2025,,168,7.0,-1,AF,1.0,66104822,677
8/31/2025,,165,8.0,0,AF,0.0,66104822,678
8/31/2025,,163,10.0,-1,AF,3.0,66104822,679
8/31/2025,,139,22.0,-2,AF,0.0,66104822,681
8/31/2025,,125,25.0,0,AF,0.0,66104822,682
8/31/2025,B,154,15.0,-3,AF,0.0,66104822,683
8/31/2025,,156,6.0,2,AF,0.0,66104822,687
8/31/2025,,127,31.0,-2,BB,0.0,66104822,688
8/31/2025,,150,13.0,2,AF,0.0,66104822,690
8/31/2025,,137,22.0,-3,AF,0.0,66104822,692
8/31/2025,,137,22.0,-1,AF,0.0,66104822,693
8/31/2025,,127,24.0,0,AB,0.0,66104822,694
8/31/2025,,129,24.0,0,AF,0.0,66104822,695
8/31/2025,,124,27.0,0,AF,1.0,66104822,696
8/31/2025,B,165,12.0,-2,AB,0.0,66104822,697
8/31/2025,B/2,144,20.0,-4,AF,0.0,66104822,698
8/31/2025,,129,27.0,-4,AF,0.0,66104822,699
8/31/2025,,159,11.0,1,AF,3.0,66104822,701
8/31/2025,,150,13.0,1,AB,0.0,66104822,704
8/31/2025,,140,17.0,2,AF,1.0,66104822,706
8/31/2025,,130,23.0,0,AF,0.0,66104822,707
8/31/2025,,140,22.0,-5,AF,0.0,66104822,711
8/31/2025,,143,18.0,1,AF,1.0,66104822,712
8/31/2025,,118,30.0,-3,AF,0.0,66104822,713
8/31/2025,B,149,20.0,-3,AF,0.0,66104822,714
8/31/2025,,147,12.0,3,AF,0.0,66104822,715
9/1/2025,B,151,17.0,-1,AF,0.0,66104822,716
9/1/2025,,151,16.0,-3,AF,0.0,66104822,717
9/1/2025,,145,18.0,-1,AF,0.0,66104822,718
9/1/2025,,117,31.0,-1,AB,0.0,66104822,719
9/2/2025,F,154,18.0,2,AF,1.0,66104822,720
9/2/2025,B,150,18.0,-1,AF,0.0,66104822,721
9/2/2025,,138,22.0,-1,AF,2.0,66104822,722
9/4/2025,F,151,17.0,0,AF,1.0,66104822,723
9/4/2025,,130,25.0,1,AF,2.0,66104822,724
9/5/2025,,155,14.0,-5,AF,0.0,66104822,726
9/5/2025,,133,23.0,0,AF,0.0,66104822,729
9/5/2025,,121,32.0,1,AF,0.0,66104822,731
9/6/2025,F,162,14.0,-1,AF,0.0,66104822,732
9/6/2025,B,167,12.0,-4,AF,0.0,66104822,733
9/6/2025,B,148,17.0,-3,AF,0.0,66104822,735
9/6/2025,B,162,12.0,-3,AF,0.0,66104822,739
9/6/2025,,159,9.0,1,AF,1.0,66104822,740
9/6/2025,,127,28.0,-5,AF,1.0,66104822,741
9/6/2025,B,162,12.0,-3,AF,0.0,66104822,742
9/6/2025,,128,25.0,-1,AF,0.0,66104822,743
9/6/2025,,121,27.0,-2,AB,0.0,66104822,744
9/6/2025,B,138,27.0,-1,BF,0.0,66104822,745
9/6/2025,B,155,14.0,-2,AF,1.0,66104822,746
9/6/2025,,174,5.0,-3,AF,0.0,66104822,750
9/6/2025,,160,8.0,0,AF,0.0,66104822,751
9/6/2025,,147,14.0,0,AF,3.0,66104822,752
9/6/2025,,132,12.0,3,AF,0.0,66104822,755
9/6/2025,B/2,168,7.0,-2,AF,0.0,66104822,756
9/6/2025,,125,26.0,-3,AF,0.0,66104822,757
9/6/2025,,118,27.0,2,AF,0.0,66104822,758
9/6/2025,B ,165,11.0,-3,AB,0.0,66104822,759
9/6/2025,,122,26.0,2,AF,2.0,66104822,762
9/6/2025,B,166,11.0,-5,AF,3.0,66104822,763
9/6/2025,,135,23.0,-5,AF,1.0,66104822,767
9/7/2025,B,130,27.0,1,AF,0.0,66104822,777
